File;Group;Number in Group;Row;Column;X;Y;Width;Height;Notes;Tags;Number per file
blupi000.blp;Yellow_Eggbert_Born;1;1;1;;0;28;20;;ok;1
blupi000.blp;Yellow_Eggbert_Born;2;1;2;;0;28;0;;ok;2
blupi000.blp;Yellow_Eggbert_Born;3;1;3;;0;28;3;;ok;3
blupi000.blp;Yellow_Eggbert_Born;4;1;4;;0;28;0;;ok;4
blupi000.blp;Yellow Bomb;1;1;5;;0;34;1;;ok;5
blupi000.blp;Yellow Bomb;2;1;6;;0;38;0;;ok;6
blupi000.blp;Yellow Bomb;3;1;7;;0;40;0;;ok;7
blupi000.blp;Yellow Bomb;4;1;8;;0;42;0;;ok;8
blupi000.blp;Yellow Bomb;5;1;9;;0;44;0;;ok;9
blupi000.blp;Yellow Bomb;6;1;10;;0;45;0;;ok;10
blupi000.blp;Yellow_Eggbert_Life;1;1;11;;0;17;1;;ok;11
blupi000.blp;Yellow_Eggbert_Born;5;1;12;;0;28;2;;ok;12
blupi000.blp;Yellow_Eggbert_Born;6;1;13;;0;28;2;;ok;13
blupi000.blp;Yellow_Eggbert_Born;7;1;14;;0;28;1;;ok;14
blupi000.blp;Yellow_Eggbert_Born;8;1;15;;0;28;1;;ok;15
blupi000.blp;Yellow_Eggbert_Swimming_Right;1;1;16;;0;53;0;;ok;16
blupi000.blp;Yellow_Eggbert_Swimming_Left;1;1;17;;0;60;0;;ok;17
blupi000.blp;Yellow_Eggbert_Born;9;1;18;;0;28;1;;ok;18
blupi000.blp;Yellow_Eggbert_Swimming_Left;2;1;19;;0;46;0;;ok;19
blupi000.blp;Yellow_Eggbert_Swimming_Left;3;1;20;;0;46;0;;ok;20
blupi000.blp;Yellow_Eggbert_Swimming_Right;2;1;21;;0;47;0;;ok;21
blupi000.blp;Yellow_Eggbert_Swimming_Right;3;2;1;;32;47;32;;ok;22
blupi000.blp;Yellow_Eggbert_Swimming_Left;4;2;2;;32;47;0;;ok;23
blupi000.blp;Yellow_Eggbert_Swimming_Right;4;2;3;;32;48;0;;ok;24
blupi000.blp;Yellow_Eggbert_Swimming_Right;5;2;4;;32;48;0;;ok;25
blupi000.blp;Yellow_Eggbert_Swimming_Left;5;2;5;;32;48;0;;ok;26
blupi000.blp;Yellow_Eggbert_Swimming_Left;6;2;6;;32;48;0;;ok;27
blupi000.blp;Yellow_Eggbert_Swimming_Right;6;2;7;;32;49;0;;ok;28
blupi000.blp;Yellow_Eggbert_Swimming_Right;7;2;8;;32;49;0;;ok;29
blupi000.blp;Yellow_Eggbert_Swimming_Left;7;2;9;;32;49;0;;ok;30
blupi000.blp;Yellow_Eggbert_Swimming_Right;8;2;10;;32;49;0;;ok;31
blupi000.blp;Yellow_Eggbert_Swimming_Butt;1;2;11;;32;52;0;;ok;32
blupi000.blp;Yellow_Eggbert_Swimming_Left;8;2;12;;32;54;0;;ok;33
blupi000.blp;Yellow_Eggbert_Swimming_Right;9;2;13;;32;57;0;;ok;34
blupi000.blp;Yellow_Eggbert_Swimming_Left;9;2;14;;32;58;0;;ok;35
blupi000.blp;Yellow_Eggbert_Crouching_Left;1;2;15;;32;37;7;;ok;36
blupi000.blp;Yellow_Eggbert_Crouching_Right;1;2;16;;32;37;0;;ok;37
blupi000.blp;?;1;3;1;;71;37;43;;ok;38
blupi000.blp;?;1;3;2;;71;37;0;;ok;39
blupi000.blp;?;1;3;3;;71;35;1;;ok;40
blupi000.blp;?;1;3;4;;71;35;0;;ok;41
blupi000.blp;?;1;3;5;;71;36;0;;ok;42
blupi000.blp;?;1;3;6;;71;36;0;;ok;43
blupi000.blp;?;1;3;7;;71;33;1;;ok;44
blupi000.blp;?;1;3;8;;71;34;0;;ok;45
blupi000.blp;?;1;3;9;;71;34;0;;ok;46
blupi000.blp;?;1;3;10;;71;35;0;;ok;47
blupi000.blp;?;1;3;11;;71;36;0;;ok;48
blupi000.blp;?;1;3;12;;71;37;0;;ok;49
blupi000.blp;?;1;3;13;;71;37;0;;ok;50
blupi000.blp;?;1;3;14;;71;39;0;;ok;51
blupi000.blp;?;1;3;15;;71;32;1;;ok;52
blupi000.blp;?;1;3;16;;71;32;0;;ok;53
blupi000.blp;?;1;3;17;;71;32;0;;ok;54
blupi000.blp;?;1;3;18;;71;32;0;;ok;55
blupi000.blp;?;1;3;19;;71;34;0;;ok;56
blupi000.blp;?;1;3;20;;71;36;0;whoops;ok;57
blupi000.blp;?;1;3;21;;71;37;0;;ok;58
blupi000.blp;?;1;3;22;;71;36;1;;ok;59
blupi000.blp;?;1;4;1;;118;41;47;bouchnul se do hlavy;ok;60
blupi000.blp;?;1;4;2;;118;30;1;;ok;61
blupi000.blp;?;1;4;3;;118;31;0;;ok;62
blupi000.blp;?;1;4;4;;118;31;0;;ok;63
blupi000.blp;?;1;4;5;;118;32;0;;ok;64
blupi000.blp;?;1;4;6;;118;32;0;;ok;65
blupi000.blp;?;1;4;7;;118;32;0;;ok;66
blupi000.blp;?;1;4;8;;118;32;0;;ok;67
blupi000.blp;?;1;4;9;;118;32;0;;ok;68
blupi000.blp;?;1;4;10;;118;33;0;;ok;69
blupi000.blp;?;1;4;11;;118;33;0;;ok;70
blupi000.blp;?;1;4;12;;118;33;0;;ok;71
blupi000.blp;?;1;4;13;;118;33;0;;ok;72
blupi000.blp;?;1;4;14;;118;33;0;;ok;73
blupi000.blp;?;1;4;15;;118;36;0;;ok;74
blupi000.blp;?;1;4;16;;118;36;0;;ok;75
blupi000.blp;?;1;4;17;;118;36;0;;ok;76
blupi000.blp;?;1;4;18;;118;37;0;;;77
blupi000.blp;?;1;4;19;;118;37;0;;;78
blupi000.blp;?;1;4;20;;118;36;0;;;79
blupi000.blp;?;1;4;21;;118;36;0;;;80
blupi000.blp;?;1;4;22;;118;36;0;;;81
blupi000.blp;?;1;4;23;;118;36;1;;;82
